CNTER_CTPRVN_CD,CNTER_CTPRVN_NM,CNTER_SIGNGU_CD,CNTER_SIGNGU_NM,MESURE_YEAR,MESURE_NCNT,MBER_CO,YUTH_MBER_CO,YNGBGS_MBER_CO,ADULT_MBER_CO,SNCTZ_MBER_CO,MNGER_INPT_CAS_CO,NBDY_INPT_CAS_CO,GNRL_MESURE_CO,BSTRP_MESURE_CO,MALE_MBER_CO,FEMALE_MBER_CO,GOLDPRZ_CO,SLVRPRZ_CO,BRNZPRZ_CO,PRTCPTPRZ_CO,N10S_BELO_MESURE_AGE_CO,N10S_MESURE_AGE_CO,N20S_MESURE_AGE_CO,N30S_MESURE_AGE_CO,N40S_MESURE_AGE_CO,N50S_MESURE_AGE_CO,N60S_MESURE_AGE_CO,N70S_BELO_MESURE_AGE_CO
41,경기,41287,고양시 일산서구,2010,12,8,0,0,12,0,0,0,12,0,9,3,0,0,0,12,0,1,7,2,1,0,1,0
41,경기,41650,포천시,2020,290,264,3,48,192,47,63,0,267,23,195,95,19,39,77,155,0,102,79,18,6,22,30,33
41,경기,41271,안산시 상록구,2020,234,216,0,6,190,38,212,0,101,133,169,65,7,33,54,140,0,50,114,4,3,5,37,21
41,경기,41195,부천시 원미구,2018,4482,4037,0,1728,1559,1195,4482,0,1478,3004,1812,2670,195,571,1040,2676,0,1759,370,205,241,410,592,905
41,경기,41370,오산시,2021,925,681,1,44,681,199,925,0,716,209,625,300,46,152,247,480,0,254,323,33,41,32,108,134
41,경기,41133,성남시 중원구,2017,4257,3024,0,1382,2024,851,3333,924,1165,3092,2238,2019,209,515,890,2643,0,1405,374,470,494,464,470,580
41,경기,41830,양평군,2021,671,542,106,12,429,124,339,0,538,133,296,375,30,110,182,349,0,187,135,50,43,76,109,71
41,경기,41590,화성시,2020,532,464,0,97,310,125,531,0,370,162,317,215,38,85,137,272,0,147,113,15,38,51,96,72
41,경기,41195,부천시 원미구,2020,604,582,0,22,352,230,604,0,400,204,377,227,55,147,183,219,0,61,136,19,10,67,170,141
41,경기,41133,성남시 중원구,2020,790,741,0,39,538,213,790,0,540,250,503,287,44,126,196,424,0,60,195,90,69,102,131,143
41,경기,41150,의정부시,2023,1288,1256,0,811,227,250,1288,0,432,856,736,552,62,194,310,722,0,823,28,27,19,54,213,124
41,경기,41195,부천시 원미구,2023,630,579,0,10,331,289,630,0,536,94,332,298,44,133,219,234,0,24,110,38,26,55,220,157
41,경기,41150,의정부시,2020,889,815,16,84,485,304,889,0,841,48,603,286,31,126,267,465,0,134,189,44,29,88,206,199
41,경기,41150,의정부시,2022,4427,3941,307,1947,1599,574,4427,0,2141,2286,2356,2071,225,659,986,2557,0,2535,597,115,112,201,575,292
41,경기,41133,성남시 중원구,2023,602,551,1,40,292,269,602,0,514,88,309,293,67,140,136,259,0,52,99,35,37,47,132,200
41,경기,41271,안산시 상록구,2022,2651,2352,76,885,1357,333,2651,0,1372,1279,1563,1088,125,425,685,1416,0,1130,634,127,72,164,381,143
41,경기,41133,성남시 중원구,2019,6636,5654,0,4283,1279,1074,6104,532,1583,5053,3531,3105,388,884,1384,3980,0,4314,470,225,185,189,458,795
41,경기,41610,광주시,2023,877,836,0,65,531,281,446,0,502,375,621,256,58,197,277,345,0,202,244,25,15,49,143,199
41,경기,41390,시흥시,2021,947,823,468,14,353,112,947,0,479,468,502,445,28,78,156,685,0,535,130,25,29,78,91,59
41,경기,41150,의정부시,2021,4098,3626,0,2339,1346,413,4097,1,2022,2076,2601,1497,133,515,909,2541,0,2562,580,98,65,148,421,224
42,강원,42150,강릉시,2016,4868,3674,0,2861,1808,199,4181,687,1032,3836,3668,1200,223,577,958,3110,0,3403,976,71,80,102,96,140
42,강원,42230,삼척시,2020,1817,1682,2,521,981,313,1817,0,287,1530,883,934,54,183,366,1214,0,568,406,269,158,80,138,198
42,강원,42130,원주시,2018,5328,4430,0,3591,1421,316,4111,1217,1290,4038,3362,1966,325,598,958,3447,0,3743,548,121,164,275,263,214
42,강원,42150,강릉시,2018,5901,5377,0,3996,1626,279,5718,183,514,5387,2763,3138,392,825,1308,3376,0,4350,619,122,243,199,170,198
42,강원,42230,삼척시,2023,1215,1177,23,975,97,120,1215,0,60,1155,91,1124,37,109,219,850,0,999,57,15,8,1,64,71
42,강원,42110,춘천시,2019,6220,5093,0,1483,3824,913,5673,547,1503,4717,3401,2819,275,739,1325,3881,0,2000,2384,235,216,266,447,672
42,강원,42230,삼척시,2019,7293,6712,13,5178,1318,784,7293,0,815,6478,3969,3324,313,813,1411,4756,0,5460,818,72,40,66,238,599
42,강원,42230,삼척시,2021,3064,2985,195,1869,906,94,3064,0,219,2845,1716,1348,89,286,431,2258,0,2117,301,248,179,106,55,58
42,강원,42150,강릉시,2021,3192,2935,49,2041,1092,10,3192,0,822,2370,2031,1161,211,409,637,1935,0,2324,415,185,128,99,39,2
42,강원,42150,강릉시,2023,477,463,59,24,360,34,477,0,302,175,352,125,35,71,95,276,0,195,208,12,9,7,20,26
42,강원,42130,원주시,2019,5429,4419,0,3127,1920,382,4041,1388,1457,3972,3570,1859,312,643,1177,3297,0,3736,681,196,133,179,254,250
42,강원,42130,원주시,2017,4811,3440,0,2671,1751,389,3332,1479,1637,3174,2121,2690,277,519,911,3104,0,2888,606,205,261,306,278,267
42,강원,42130,원주시,2020,1309,1067,0,119,981,209,663,646,762,547,944,365,103,183,350,673,0,486,442,34,34,56,103,154
42,강원,42110,춘천시,2023,513,492,0,11,437,65,513,0,135,378,230,283,11,37,80,385,0,143,131,19,80,63,28,49
42,강원,42130,원주시,2022,6223,5441,687,3739,1483,314,6223,0,921,5302,3253,2970,313,699,1131,4080,0,4857,642,50,49,171,267,187
42,강원,42150,강릉시,2020,2501,2110,1,755,1562,183,2482,19,1828,673,1828,673,219,461,602,1219,0,1231,839,96,60,41,113,121
42,강원,42130,원주시,2023,714,684,0,106,474,134,714,0,247,467,504,210,27,90,145,452,0,173,239,38,34,44,105,81
42,강원,42230,삼척시,2022,3277,3112,235,1890,1020,132,3277,0,469,2808,1689,1588,118,305,556,2298,0,2218,394,226,179,101,74,85
42,강원,42110,춘천시,2022,3545,3036,0,1357,1498,690,3545,0,1160,2385,2205,1340,237,429,602,2277,0,1652,701,140,100,145,218,589
42,강원,42130,원주시,2016,4692,3185,0,2641,1641,410,3129,1563,1714,2978,2533,2159,212,465,862,3153,0,2728,448,267,373,336,261,279
42,강원,42130,원주시,2021,3866,3351,566,1636,1437,227,3789,77,1150,2716,2319,1547,211,414,665,2576,0,2643,468,85,99,205,247,119
42,강원,42190,태백시,2020,13,10,0,3,10,0,13,0,13,0,11,2,2,2,0,9,0,4,8,1,0,0,0,0
42,강원,42110,춘천시,2021,1917,1606,4,865,925,123,1913,4,973,944,1113,804,118,274,347,1178,0,1035,323,107,146,133,83,90
42,강원,42190,태백시,2021,586,571,287,254,43,2,585,0,64,522,303,283,23,52,47,464,0,546,21,8,2,2,6,1
42,강원,42130,원주시,2013,3919,33,0,0,2723,1196,1449,0,3919,0,1514,2405,157,439,801,2522,0,169,823,405,467,566,723,766
42,강원,42190,태백시,2023,42,39,0,4,31,7,38,0,42,0,26,16,2,5,11,24,0,5,8,5,5,9,5,5
42,강원,42110,춘천시,2020,898,848,0,289,379,230,874,24,493,405,668,230,49,116,194,539,0,340,186,28,16,38,131,159
42,강원,42190,태백시,2022,1914,1854,497,972,335,110,1913,0,196,1718,887,1027,94,262,339,1219,0,1479,76,41,45,96,113,64
42,강원,42150,강릉시,2022,4615,4325,499,2801,1264,51,4587,28,909,3706,3033,1582,215,499,848,3053,0,3500,559,231,116,116,71,22
42,강원,42130,원주시,2015,5058,203,0,1537,2764,757,3815,427,2072,2986,2855,2203,156,470,963,3469,0,1661,1275,265,369,532,433,523
42,강원,42130,원주시,2014,4122,41,0,614,2600,908,981,0,1995,2127,1729,2393,147,424,794,2757,1,715,917,309,428,597,540,615
42,강원,42150,강릉시,2017,6511,5571,0,4823,1477,211,6082,429,617,5894,4188,2323,543,1065,1547,3356,0,5117,820,109,112,92,109,152
42,강원,42130,원주시,2012,3109,18,0,0,3109,0,2329,0,3109,0,1028,2081,72,248,710,2079,9,73,640,630,796,777,184,0
42,강원,42110,춘천시,2018,3220,2747,0,720,2306,194,2521,699,1031,2189,1697,1523,147,292,599,2182,0,975,1150,253,333,220,171,118
42,강원,42150,강릉시,2019,5627,5036,1,3824,1588,214,5459,168,523,5104,2593,3034,460,829,1163,3175,0,4174,776,88,125,153,176,135
42,강원,42150,강릉시,2015,4222,634,0,1427,2407,388,3049,592,1300,2922,2859,1363,146,418,856,2802,0,1898,1282,87,200,223,298,234
42,강원,42130,원주시,2011,2,1,0,0,2,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,1,0,1,0
42,강원,42230,삼척시,2018,4433,4064,0,3151,1009,273,4415,18,510,3923,3334,1099,152,426,821,3034,0,3344,580,55,55,94,105,200
43,충북,43740,영동군,2017,4706,3727,0,1921,2201,584,4558,148,607,4099,2206,2500,198,528,991,2989,0,2144,608,273,355,499,462,365
43,충북,43740,영동군,2016,4800,3062,0,1915,2247,638,4277,523,1284,3516,2137,2663,151,483,896,3270,0,2215,752,265,327,424,364,453
43,충북,43130,충주시,2019,6666,4959,0,4926,1074,666,6618,48,434,6232,4285,2381,311,696,1141,4518,0,4941,527,135,113,177,236,537
43,충북,43113,청주시 흥덕구,2016,5127,2573,0,1414,2566,1147,1775,3352,3462,1665,1958,3169,405,703,1027,2992,0,1485,392,268,509,835,878,760
43,충북,43113,청주시 흥덕구,2015,4940,368,0,126,2929,1885,2544,1888,4053,887,1370,3570,564,809,977,2590,0,235,575,290,593,913,930,1404
43,충북,43745,증평군,2018,4123,3491,0,1761,1256,1106,4120,3,1457,2666,1957,2166,199,616,869,2439,0,1770,199,243,268,250,646,747
43,충북,43113,청주시 흥덕구,2017,5430,2943,0,1269,3189,972,2074,3356,3477,1953,1967,3463,334,699,1077,3320,0,1341,451,379,569,1174,1011,505
43,충북,43113,청주시 흥덕구,2018,5697,4041,0,1230,3266,1201,2421,3276,3398,2299,1833,3864,286,703,1191,3517,0,1270,543,324,534,1107,1277,642
43,충북,43740,영동군,2015,4487,1013,0,1810,2172,505,3037,747,2145,2342,2096,2391,183,378,901,3025,0,2177,923,265,300,243,207,372
43,충북,43740,영동군,2014,3833,106,0,920,2326,587,1959,0,3017,816,1568,2265,174,434,815,2410,0,1056,698,417,560,412,308,382
43,충북,43130,충주시,2018,4307,3011,0,2565,996,746,4035,272,751,3556,2301,2006,207,482,801,2817,0,2676,372,112,140,178,233,596
43,충북,43113,청주시 흥덕구,2019,6007,3391,0,832,3415,1760,1911,4096,4515,1492,1700,4307,422,888,1272,3425,0,930,519,251,436,1121,1850,900
43,충북,43113,청주시 흥덕구,2014,4658,175,0,789,2708,1161,3021,0,3748,910,1695,2963,503,657,952,2546,0,839,465,328,608,830,912,676
43,충북,43113,청주시 흥덕구,2021,894,687,0,133,712,49,739,155,849,45,546,348,56,152,267,419,0,239,463,64,28,30,37,33
43,충북,43740,영동군,2019,5156,4516,0,3191,1453,512,5154,2,456,4700,2792,2364,273,644,1070,3169,0,3399,499,162,202,274,251,369
43,충북,43750,진천군,2023,165,151,15,57,88,5,165,0,65,100,106,59,8,27,36,94,0,104,32,5,9,4,10,1
43,충북,43745,증평군,2023,296,284,10,167,91,28,296,0,73,223,268,28,6,31,41,218,0,195,52,5,7,4,17,16
43,충북,43750,진천군,2020,376,306,1,38,335,2,360,0,268,108,283,93,34,71,86,185,0,141,167,29,14,13,10,2
43,충북,43740,영동군,2018,5311,4715,0,2955,1765,591,5299,12,534,4777,2705,2606,235,616,1151,3309,0,3106,510,279,266,362,389,399
43,충북,43113,청주시 흥덕구,2020,961,927,0,47,577,337,139,822,950,11,433,528,68,164,229,500,0,127,192,26,28,120,274,194
43,충북,43745,증평군,2020,1145,939,2,130,769,244,1145,0,856,289,764,381,67,198,303,577,0,319,344,80,54,58,136,154
43,충북,43740,영동군,2022,2597,2482,205,1660,453,279,2596,1,134,2463,1594,1003,138,394,638,1427,0,1887,178,22,39,79,253,139
43,충북,43130,충주시,2020,1394,1295,25,588,647,134,1394,0,753,641,868,526,72,197,270,855,0,675,216,154,113,62,76,98
43,충북,43740,영동군,2020,1395,1209,9,830,456,100,1391,4,240,1155,828,567,53,127,260,955,0,905,352,16,7,5,33,77
43,충북,43130,충주시,2021,4626,4224,2,4291,312,21,4626,0,269,4357,3403,1223,145,347,661,3473,0,4384,116,64,33,6,6,17
43,충북,43740,영동군,2021,3923,3829,51,3029,656,187,3922,1,341,3582,2353,1570,259,553,821,2290,0,3152,244,54,73,98,238,64
43,충북,43113,청주시 흥덕구,2013,4175,130,0,0,2882,1293,3560,0,4175,0,1338,2837,243,560,898,2474,0,33,408,462,660,886,1055,671
43,충북,43113,청주시 흥덕구,2022,2028,1546,153,100,1197,578,2028,0,1849,179,875,1153,109,309,475,1135,0,367,486,148,68,192,469,298
43,충북,43745,증평군,2022,2276,2097,173,1378,503,222,2276,0,453,1823,1804,472,63,214,369,1630,0,1660,245,38,20,35,143,135
43,충북,43130,충주시,2022,4637,4169,25,4095,420,97,4637,0,498,4139,3321,1316,236,478,823,3100,0,4234,155,51,19,39,81,58
43,충북,43720,보은군,2022,1063,941,187,106,293,477,1063,0,387,676,368,695,45,91,148,779,0,306,51,34,62,65,192,353
43,충북,43740,영동군,2023,382,379,0,208,84,90,382,0,12,370,276,106,13,41,71,257,0,211,6,5,9,24,94,33
43,충북,43750,진천군,2022,2048,1242,499,416,1090,43,2048,0,458,1590,1132,916,187,315,356,1190,0,1381,394,108,57,42,40,26
43,충북,43745,증평군,2019,6053,5105,0,2849,2139,1065,6050,3,1642,4411,3451,2602,292,775,1221,3765,0,2929,449,448,428,426,720,653
43,충북,43720,보은군,2020,139,131,0,23,102,14,46,0,130,9,80,59,5,16,23,95,0,37,31,8,15,24,18,6
43,충북,43745,증평군,2021,2891,2714,250,2048,525,68,2891,0,516,2375,2385,506,63,226,458,2144,0,2443,246,57,41,18,41,45
43,충북,43720,보은군,2021,735,604,26,265,247,197,734,0,376,359,323,412,45,83,111,496,0,296,39,22,54,81,120,123
43,충북,43750,진천군,2021,1827,1164,436,560,816,15,1827,0,286,1541,1095,732,169,299,323,1036,0,1330,355,44,31,32,29,6
43,충북,43113,청주시 흥덕구,2023,564,529,2,42,376,144,564,0,564,0,218,346,17,51,137,359,0,84,117,27,29,96,140,71
43,충북,43130,충주시,2023,403,380,0,190,182,31,403,0,156,247,254,149,26,43,62,272,0,200,104,29,9,13,34,14
43,충북,43720,보은군,2023,193,187,117,0,36,40,193,0,53,140,91,102,11,16,26,140,0,119,5,5,9,6,21,28
44,충남,44200,아산시,2023,491,446,1,32,399,59,326,0,306,185,291,200,20,83,124,264,0,41,129,93,76,52,66,34
44,충남,44250,계룡시,2021,2975,2791,3,2033,761,178,2975,0,825,2150,1546,1429,195,436,669,1675,0,2247,385,45,51,43,66,138
44,충남,44250,계룡시,2020,4038,3550,0,987,2826,225,4038,0,2551,1487,2961,1077,430,762,982,1864,0,1732,1857,92,49,23,134,151
44,충남,44250,계룡시,2023,103,86,0,1,85,17,103,0,86,17,87,16,7,17,27,52,0,5,40,28,7,3,15,5
44,충남,44200,아산시,2020,3323,3081,0,195,2833,295,2535,116,1565,1758,2563,760,177,477,777,1892,0,612,1146,553,394,242,165,211
44,충남,44133,천안시 서북구,2016,3739,2824,0,2945,637,157,3222,517,531,3208,2307,1432,149,326,696,2568,0,2954,118,101,149,187,166,64
44,충남,44200,아산시,2022,4305,4002,45,1789,2333,138,3458,0,1280,3025,2790,1515,217,612,779,2697,0,2191,924,462,269,205,189,65
44,충남,44133,천안시 서북구,2018,5901,5553,0,3931,1635,335,5497,404,521,5380,2890,3011,209,588,1142,3962,0,3968,273,407,411,362,296,184
44,충남,44133,천안시 서북구,2017,5702,4500,0,4112,1261,329,5111,591,640,5062,2867,2835,247,569,1052,3834,0,4137,260,238,333,306,222,206
44,충남,44200,아산시,2019,4249,4210,0,1604,2502,143,4143,106,316,3933,3020,1229,284,534,761,2670,0,1840,1511,377,169,149,103,100
44,충남,44133,천안시 서북구,2022,3358,3108,323,1677,1159,199,3358,0,1203,2155,1983,1375,156,421,632,2149,0,2175,589,86,109,117,167,115
44,충남,44133,천안시 서북구,2020,479,430,1,56,290,132,247,232,353,126,269,210,24,76,138,241,0,88,129,31,25,40,87,79
44,충남,44200,아산시,2021,3945,3267,9,547,3101,288,2681,0,2039,1906,2809,1135,227,722,964,2032,0,1093,1183,552,358,301,263,194
44,충남,44830,당진시,2016,1023,942,0,455,449,119,864,159,209,814,634,389,33,100,173,717,0,490,113,134,92,68,47,79
44,충남,44250,계룡시,2019,363,344,0,21,230,112,363,0,191,172,205,158,30,75,69,189,0,42,64,49,70,24,15,99
44,충남,44710,금산군,2015,4240,45,0,1017,2191,1032,2524,462,1640,2600,1938,2302,159,500,848,2733,0,1072,400,283,537,617,666,665
44,충남,44133,천안시 서북구,2023,515,445,0,25,372,118,515,0,326,189,236,279,33,89,120,273,0,32,136,29,81,65,112,60
44,충남,44133,천안시 서북구,2021,649,522,3,89,491,66,644,5,562,87,350,298,35,108,142,364,0,154,193,66,81,63,50,41
44,충남,44133,천안시 서북구,2019,5614,5256,0,3847,1428,339,5235,379,512,5102,2713,2901,255,643,1187,3529,0,3878,420,191,304,357,265,199
44,충남,44250,계룡시,2022,4559,4115,521,2779,948,311,4559,0,675,3884,2875,1684,203,506,741,3109,0,3512,605,40,41,21,77,263
45,전북,45130,군산시,2019,4094,3723,1,2612,1064,417,4094,0,979,3115,2048,2046,224,554,944,2372,0,2866,226,86,122,230,329,235
45,전북,45111,전주시 완산구,2018,8661,6834,0,5806,2259,596,7870,791,1235,7426,4860,3801,572,1206,2012,4871,0,5958,483,214,363,820,459,364
45,전북,45111,전주시 완산구,2020,1131,919,0,96,696,339,588,543,816,315,780,351,54,161,255,661,0,197,297,44,27,169,176,221
45,전북,45190,남원시,2020,1342,1258,0,790,348,204,1289,53,472,870,736,606,101,177,274,790,0,824,113,37,69,64,100,135
45,전북,45180,정읍시,2020,937,907,24,758,131,24,797,0,157,780,795,142,67,121,183,566,0,793,53,17,20,24,20,10
45,전북,45190,남원시,2018,5672,3760,0,3465,1613,594,5591,81,1058,4614,3145,2527,468,979,1218,3007,0,3522,597,208,349,287,278,431
45,전북,45190,남원시,2016,4702,2750,0,2435,1629,638,4381,321,1476,3226,2396,2306,334,670,932,2766,0,2459,420,257,492,343,366,365
45,전북,45140,익산시,2010,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
45,전북,45190,남원시,2017,5105,3336,0,2793,1785,527,4963,142,1392,3713,3016,2089,363,683,1008,3051,0,2846,593,215,443,366,260,382
45,전북,45140,익산시,2021,1526,933,59,548,907,12,1133,0,478,1048,943,583,174,291,289,772,0,1101,317,37,21,25,19,6
45,전북,45111,전주시 완산구,2023,1163,1097,1,230,808,124,1059,104,417,746,568,595,37,102,217,807,0,244,120,107,139,379,88,86
45,전북,45180,정읍시,2023,305,286,20,124,102,59,302,0,142,163,217,88,23,62,65,155,0,144,23,18,23,12,43,42
45,전북,45111,전주시 완산구,2019,7826,6101,0,4110,3102,614,6569,1257,1662,6164,4530,3296,557,1126,1612,4531,0,4748,864,271,369,817,386,371
45,전북,45111,전주시 완산구,2022,5563,5219,297,3068,1676,522,4901,662,1076,4487,2528,3035,214,642,1057,3650,0,3531,552,243,205,426,200,406
45,전북,45111,전주시 완산구,2016,3643,3160,0,1927,1345,371,2993,650,834,2809,1969,1674,139,458,734,2312,0,2008,533,141,207,245,290,219
45,전북,45190,남원시,2019,5380,4050,0,2525,2215,640,5218,162,914,4466,2904,2476,529,891,1146,2814,0,2745,1001,292,292,295,255,500
45,전북,45111,전주시 완산구,2021,4640,4462,407,3305,643,285,4334,306,528,4112,1962,2678,102,317,736,3485,0,3838,281,67,54,68,126,206
45,전북,45140,익산시,2022,1612,1109,88,358,1016,150,1230,0,544,1068,1005,607,154,325,342,791,0,862,299,115,87,64,74,111
45,전북,45180,정읍시,2022,3548,2791,246,2351,774,177,3400,0,962,2586,2474,1074,256,505,650,2137,0,2638,209,158,104,129,215,95
45,전북,45190,남원시,2015,4791,439,0,1455,2557,779,1872,313,1915,2876,2339,2452,173,497,975,3146,0,1541,471,492,819,542,447,479
